transcript_id,interlocutor,utterance_text
3,client,"It’s hard to talk about this, but I know that acknowledging it is the first step."
3,therapist,It’s important that you’re thinking about this. How can I support you in this journey?
3,client,"I’ve tried making changes before, but I keep slipping back. I don’t know why."
3,therapist,It’s completely understandable to feel this way. What’s something that has worked for you before?
3,client,"It’s frustrating because I know what I should do, but I can’t seem to follow through."
3,therapist,I can see why this is a challenge for you. Have you considered exploring new strategies?
3,client,"Some days I feel confident, and other days I doubt myself completely."
3,therapist,It sounds like you have mixed feelings about this. Can you share more?
3,client,I just want to feel like I’m making progress and not going in circles.
3,therapist,You're reflecting deeply on this. What do you think would help you move forward?
3,client,"I’ve been thinking a lot about my situation, and I realize I need to make a change."
3,therapist,That’s an interesting way to put it. What made you feel this way?
3,client,"It’s been really tough balancing everything, but I know I need to figure this out."
3,therapist,This seems to be something you care about deeply. What’s one step you could take today?
3,client,"I’m feeling uncertain about my next steps, but I don’t want to stay stuck."
3,therapist,I hear that this has been on your mind. Can you tell me what concerns you the most?
4,therapist,It’s important that you’re thinking about this. How can I support you in this journey?
4,client,"I’m feeling uncertain about my next steps, but I don’t want to stay stuck."
4,therapist,It sounds like you have mixed feelings about this. Can you share more?
4,client,"It’s hard to talk about this, but I know that acknowledging it is the first step."
4,therapist,You're reflecting deeply on this. What do you think would help you move forward?
4,client,"Some days I feel confident, and other days I doubt myself completely."
4,therapist,It’s completely understandable to feel this way. What’s something that has worked for you before?
4,client,"It’s frustrating because I know what I should do, but I can’t seem to follow through."
4,therapist,That’s an interesting way to put it. What made you feel this way?
4,client,"I’m feeling uncertain about my next steps, but I don’t want to stay stuck."
4,therapist,It’s important that you’re thinking about this. How can I support you in this journey?
4,client,I just want to feel like I’m making progress and not going in circles.
4,therapist,This seems to be something you care about deeply. What’s one step you could take today?
4,client,"It’s been really tough balancing everything, but I know I need to figure this out."
4,therapist,I can see why this is a challenge for you. Have you considered exploring new strategies?
4,client,"I’ve tried making changes before, but I keep slipping back. I don’t know why."
4,therapist,I hear that this has been on your mind. Can you tell me what concerns you the most?
4,client,"I’ve been thinking a lot about my situation, and I realize I need to make a change."
4,therapist,That’s an interesting way to put it. What made you feel this way?
4,client,"I’ve been thinking a lot about my situation, and I realize I need to make a change."
4,therapist,It’s important that you’re thinking about this. How can I support you in this journey?
4,client,"Some days I feel confident, and other days I doubt myself completely."
4,therapist,I can see why this is a challenge for you. Have you considered exploring new strategies?
4,client,"I’ve been thinking a lot about my situation, and I realize I need to make a change."
4,therapist,This seems to be something you care about deeply. What’s one step you could take today?
4,client,"I’ve tried making changes before, but I keep slipping back. I don’t know why."
4,therapist,You're reflecting deeply on this. What do you think would help you move forward?
4,client,"It’s been really tough balancing everything, but I know I need to figure this out."
4,therapist,That’s an interesting way to put it. What made you feel this way?
4,client,"It’s frustrating because I know what I should do, but I can’t seem to follow through."
4,therapist,It’s completely understandable to feel this way. What’s something that has worked for you before?
4,client,"I’m feeling uncertain about my next steps, but I don’t want to stay stuck."
4,therapist,It sounds like you have mixed feelings about this. Can you share more?
4,client,"It’s hard to talk about this, but I know that acknowledging it is the first step."
4,therapist,I hear that this has been on your mind. Can you tell me what concerns you the most?
4,client,I just want to feel like I’m making progress and not going in circles.
4,therapist,It’s important that you’re thinking about this. How can I support you in this journey?
4,client,I just want to feel like I’m making progress and not going in circles.
4,therapist,It’s important that you’re thinking about this. How can I support you in this journey?
4,client,I just want to feel like I’m making progress and not going in circles.
4,therapist,It’s completely understandable to feel this way. What’s something that has worked for you before?
4,client,"It’s been really tough balancing everything, but I know I need to figure this out."
4,therapist,It sounds like you have mixed feelings about this. Can you share more?
4,client,"Some days I feel confident, and other days I doubt myself completely."
4,therapist,You're reflecting deeply on this. What do you think would help you move forward?
4,client,"I’ve been thinking a lot about my situation, and I realize I need to make a change."
4,therapist,I hear that this has been on your mind. Can you tell me what concerns you the most?
4,client,"I’ve tried making changes before, but I keep slipping back. I don’t know why."
4,therapist,I can see why this is a challenge for you. Have you considered exploring new strategies?
4,client,"It’s frustrating because I know what I should do, but I can’t seem to follow through."
4,therapist,That’s an interesting way to put it. What made you feel this way?
4,client,"It’s hard to talk about this, but I know that acknowledging it is the first step."
4,therapist,This seems to be something you care about deeply. What’s one step you could take today?
4,client,"I’m feeling uncertain about my next steps, but I don’t want to stay stuck."
4,therapist,This seems to be something you care about deeply. What’s one step you could take today?
4,client,"I’ve tried making changes before, but I keep slipping back. I don’t know why."
4,therapist,It sounds like you have mixed feelings about this. Can you share more?
4,client,"It’s been really tough balancing everything, but I know I need to figure this out."
4,therapist,This seems to be something you care about deeply. What’s one step you could take today?
6,therapist,It’s important that you’re thinking about this. How can I support you in this journey?
6,client,"I’ve been thinking a lot about my situation, and I realize I need to make a change."
6,therapist,I can see why this is a challenge for you. Have you considered exploring new strategies?
6,client,"Some days I feel confident, and other days I doubt myself completely."
6,therapist,You're reflecting deeply on this. What do you think would help you move forward?
6,client,I just want to feel like I’m making progress and not going in circles.
6,therapist,That’s an interesting way to put it. What made you feel this way?
6,client,"It’s hard to talk about this, but I know that acknowledging it is the first step."
6,therapist,It’s completely understandable to feel this way. What’s something that has worked for you before?
6,client,"I’ve tried making changes before, but I keep slipping back. I don’t know why."
6,therapist,I hear that this has been on your mind. Can you tell me what concerns you the most?
6,client,"I’m feeling uncertain about my next steps, but I don’t want to stay stuck."
6,therapist,I hear that this has been on your mind. Can you tell me what concerns you the most?
6,client,"It’s frustrating because I know what I should do, but I can’t seem to follow through."
6,therapist,This seems to be something you care about deeply. What’s one step you could take today?
6,client,"Some days I feel confident, and other days I doubt myself completely."
6,therapist,It sounds like you have mixed feelings about this. Can you share more?
6,client,"I’ve been thinking a lot about my situation, and I realize I need to make a change."
6,therapist,I can see why this is a challenge for you. Have you considered exploring new strategies?
6,client,"I’m feeling uncertain about my next steps, but I don’t want to stay stuck."
6,therapist,You're reflecting deeply on this. What do you think would help you move forward?
6,client,"It’s hard to talk about this, but I know that acknowledging it is the first step."
6,therapist,That’s an interesting way to put it. What made you feel this way?
6,client,"It’s frustrating because I know what I should do, but I can’t seem to follow through."
6,therapist,It’s important that you’re thinking about this. How can I support you in this journey?
6,client,I just want to feel like I’m making progress and not going in circles.
6,therapist,It’s completely understandable to feel this way. What’s something that has worked for you before?
6,client,"Some days I feel confident, and other days I doubt myself completely."
6,therapist,I hear that this has been on your mind. Can you tell me what concerns you the most?
6,client,"I’ve tried making changes before, but I keep slipping back. I don’t know why."
6,therapist,That’s an interesting way to put it. What made you feel this way?
6,client,"It’s been really tough balancing everything, but I know I need to figure this out."
6,therapist,It’s completely understandable to feel this way. What’s something that has worked for you before?
6,client,"It’s been really tough balancing everything, but I know I need to figure this out."
6,therapist,You're reflecting deeply on this. What do you think would help you move forward?
6,client,"It’s hard to talk about this, but I know that acknowledging it is the first step."
6,therapist,This seems to be something you care about deeply. What’s one step you could take today?
6,client,"I’m feeling uncertain about my next steps, but I don’t want to stay stuck."
6,therapist,That’s an interesting way to put it. What made you feel this way?
6,client,"I’ve tried making changes before, but I keep slipping back. I don’t know why."
6,therapist,I hear that this has been on your mind. Can you tell me what concerns you the most?
6,client,"Some days I feel confident, and other days I doubt myself completely."
6,therapist,I can see why this is a challenge for you. Have you considered exploring new strategies?
6,client,"I’ve been thinking a lot about my situation, and I realize I need to make a change."
6,therapist,It sounds like you have mixed feelings about this. Can you share more?
6,client,"It’s been really tough balancing everything, but I know I need to figure this out."
6,therapist,It’s important that you’re thinking about this. How can I support you in this journey?
6,client,"It’s frustrating because I know what I should do, but I can’t seem to follow through."
6,therapist,This seems to be something you care about deeply. What’s one step you could take today?
6,client,I just want to feel like I’m making progress and not going in circles.
6,therapist,This seems to be something you care about deeply. What’s one step you could take today?
6,client,"It’s been really tough balancing everything, but I know I need to figure this out."
